G,C,B,A,Ia,Ib,Ic,Va,Vb,Vc
0,0,0,0,46.95200539,13.45781551,-60.4098209,-0.30228469,0.605916051,-0.303631362
0,0,0,0,46.27633373,14.42977423,-60.70610795,-0.31049574,0.605853509,-0.295357769
0,0,0,0,45.58924416,15.39817253,-60.98741669,-0.31863018,0.605641482,-0.287011302
0,0,0,0,44.89090623,16.36277146,-61.2536777,-0.326686002,0.605280021,-0.278594019
0,0,0,0,44.18149224,17.32333303,-61.50482528,-0.33466122,0.604769217,-0.270107998
0,0,0,0,43.46117723,18.27962024,-61.74079746,-0.342553865,0.604109195,-0.261555331
0,0,0,0,42.73013892,19.23139713,-61.96153604,-0.350361989,0.603300118,-0.252938129
0,0,0,0,41.98855768,20.17842887,-62.16698655,-0.358083667,0.602342186,-0.244258519
0,0,0,0,41.23661649,21.1204818,-62.35709829,-0.365716994,0.601235635,-0.235518641
0,0,0,0,40.47450088,22.05732348,-62.53182436,-0.373260085,0.599980738,-0.226720653
0,0,0,0,39.70239889,22.98872276,-62.69112165,-0.380711079,0.598577805,-0.217866725
0,0,0,0,38.92050103,23.91444982,-62.83495085,-0.388068139,0.597027181,-0.208959042
0,0,0,0,38.12900023,24.83427626,-62.96327648,-0.395329449,0.59532925,-0.199999801
0,0,0,0,37.32809176,25.74797512,-63.07606688,-0.402493217,0.593484431,-0.190991214
0,0,0,0,36.51797325,26.65532096,-63.17329422,-0.409557676,0.591493178,-0.181935502
0,0,0,0,35.69884458,27.55608991,-63.2549345,-0.416521082,0.589355982,-0.1728349
0,0,0,0,34.87090786,28.45005973,-63.32096759,-0.423381718,0.587073372,-0.163691654
0,0,0,0,34.03436737,29.33700983,-63.3713772,-0.430137891,0.584645911,-0.15450802
0,0,0,0,33.18942951,30.21672138,-63.40615089,-0.436787934,0.582074197,-0.145286263
0,0,0,0,32.33630276,31.08897732,-63.42528008,-0.443330205,0.579358864,-0.136028659
0,0,0,0,31.47519761,31.95356243,-63.42876004,-0.449763092,0.576500584,-0.126737492
0,0,0,0,30.60632654,32.81026339,-63.41658993,-0.456085006,0.573500061,-0.117415054
0,0,0,0,29.72990392,33.65886882,-63.38877274,-0.462294388,0.570358035,-0.108063646
0,0,0,0,28.846146,34.49916934,-63.34531534,-0.468389706,0.567075281,-0.098685576
0,0,0,0,27.95527084,35.33095762,-63.28622846,-0.474369455,0.563652611,-0.089283155
0,0,0,0,27.05749823,36.15402843,-63.21152666,-0.480232161,0.560090867,-0.079858706
0,0,0,0,26.1530497,36.96817869,-63.12122839,-0.485976377,0.55639093,-0.070414553
0,0,0,0,25.2421484,37.77320753,-63.01535593,-0.491600685,0.552553711,-0.060953026
0,0,0,0,24.32501909,38.5689163,-62.89393539,-0.497103698,0.548580158,-0.05147646
0,0,0,0,23.40188806,39.35510868,-62.75699674,-0.502484058,0.544471251,-0.041987193
0,0,0,0,22.47298306,40.13159069,-62.60457376,-0.507740438,0.540228004,-0.032487566
0,0,0,0,21.53853331,40.89817075,-62.43670406,-0.51287154,0.535851464,-0.022979923
